time,stamp_sonde,stamp_ros,latitude,longitude,temperature,conductivity
1467928791511780000,1467942882000000000,1467928791480840000,34.109159,-117.712669167,27.1189994812,686.640014648
1467928797513410000,1467942884000000000,1467928797481660000,34.1091598333,-117.712668,27.1000003815,686.570007324
1467928803514360000,1467942888000000000,1467928803481710000,34.1091596667,-117.7126655,27.0690002441,686.409973145
1467928809515640000,1467942890000000000,1467928809482910000,34.1091608333,-117.712664,27.0580005646,686.349975586
1467928815517030000,1467942894000000000,1467928815482600000,34.1091628333,-117.712664,27.0489997864,686.260009766
1467928821484920000,1467942896000000000,1467928821481620000,34.1091651667,-117.712663833,27.0480003357,686.229980469
1467928827486250000,1467942900000000000,1467928827481600000,34.1091673333,-117.7126635,27.0429992676,686.219970703
1467928833487460000,1467942902000000000,1467928833485570000,34.1091695,-117.7126635,27.0380001068,686.179992676
1467928839488830000,1467942906000000000,1467928839485530000,34.1091711667,-117.7126625,27.0310001373,686.119995117
1467928845489970000,1467942908000000000,1467928845484590000,34.1091725,-117.712661167,27.031999588,686.090026855
1467928851491220000,1467942912000000000,1467928851485100000,34.1091735,-117.712659167,27.0489997864,686.049987793
1467928857492500000,1467942914000000000,1467928857486230000,34.1091748333,-117.7126575,27.063999176,686.070007324
1467928863493890000,1467942918000000000,1467928863486790000,34.109176,-117.712657167,27.1060009003,686.190002441
1467928869495210000,1467942920000000000,1467928869487440000,34.1091776667,-117.712657167,27.1280002594,686.280029297
1467928875496630000,1467942924000000000,1467928875487110000,34.1091786667,-117.712656667,27.1700000763,686.400024414
1467928881499910000,1467942926000000000,1467928881486500000,34.109179,-117.712655167,27.1909999847,686.450012207
1467928887501340000,1467942930000000000,1467928887488380000,34.1091786667,-117.712653333,27.2299995422,686.549987793
1467928893503400000,1467942932000000000,1467928893487650000,34.1091781667,-117.7126515,27.2460002899,686.599975586
1467928899504590000,1467942936000000000,1467928899488030000,34.1091786667,-117.712649833,27.2770004272,686.700012207
1467928905505950000,1467942938000000000,1467928905488860000,34.1091793333,-117.712648667,27.2910003662,686.75
1467928911507680000,1467942942000000000,1467928911489130000,34.1091791667,-117.712648,27.3129997253,686.840026855
1467928917508840000,1467942944000000000,1467928917487040000,34.1091795,-117.712647833,27.3159999847,686.880004883
1467928923510110000,1467942948000000000,1467928923489420000,34.109181,-117.712647167,27.3150005341,686.929992676
1467928929511300000,1467942950000000000,1467928929488860000,34.1091813333,-117.712645833,27.3120002747,686.950012207
1467928935512490000,1467942954000000000,1467928935490260000,34.1091816667,-117.712644667,27.3010005951,686.909973145
1467928941513820000,1467942956000000000,1467928941488830000,34.1091826667,-117.712643167,27.2919998169,686.859985352
1467928947515100000,1467942960000000000,1467928947489270000,34.1091828333,-117.712641833,27.267999649,686.780029297
1467928953489660000,1467942962000000000,1467928953485870000,34.1091823333,-117.712639333,27.2530002594,686.719970703
1467928959490770000,1467942966000000000,1467928959485750000,34.109182,-117.712637167,27.2229995728,686.559997559
1467928965491960000,1467942968000000000,1467928965487870000,34.1091816667,-117.712634833,27.2119998932,686.530029297
1467928971493260000,1467942972000000000,1467928971488450000,34.1091816667,-117.712632833,27.2110004425,686.489990234
1467928977494490000,1467942974000000000,1467928977487960000,34.1091803333,-117.712630333,27.2189998627,686.469970703
1467928983495930000,1467942978000000000,1467928983488030000,34.1091798333,-117.712627667,27.2390003204,686.460021973
1467928989497070000,1467942980000000000,1467928989486730000,34.1091795,-117.712625,27.2490005493,686.469970703
1467928995498980000,1467942984000000000,1467928995488880000,34.1091791667,-117.712622333,27.2730007172,686.5
1467929001500310000,1467942986000000000,1467929001485430000,34.109179,-117.712620167,27.2870006561,686.520019531
1467929007501570000,1467942990000000000,1467929007490020000,34.1091788333,-117.712619,27.3090000153,686.609985352
1467929013503000000,1467942992000000000,1467929013487130000,34.10918,-117.712617333,27.3190002441,686.650024414
1467929019504280000,1467942996000000000,1467929019486790000,34.1091801667,-117.712616167,27.3309993744,686.729980469
1467929025505440000,1467942998000000000,1467929025488600000,34.1091808333,-117.712614667,27.3309993744,686.760009766
1467929031506650000,1467943002000000000,1467929031487960000,34.109181,-117.712614167,27.3269996643,686.859985352
1467929037507860000,1467943004000000000,1467929037488160000,34.1091818333,-117.712614167,27.3229999542,686.91998291
1467929043509240000,1467943008000000000,1467929043486820000,34.1091818333,-117.7126125,27.3080005646,687
1467929049511470000,1467943010000000000,1467929049487910000,34.1091818333,-117.712611833,27.2980003357,687.020019531
1467929055512630000,1467943014000000000,1467929055487520000,34.1091818333,-117.712610667,27.2749996185,687
1467929061513840000,1467943016000000000,1467929061488680000,34.1091821667,-117.712609667,27.2619991302,686.969970703
1467929067515460000,1467943020000000000,1467929067488170000,34.109183,-117.712608333,27.2369995117,686.869995117
1467929073516610000,1467943022000000000,1467929073487420000,34.1091841667,-117.7126065,27.2259998322,686.789978027
